Title,Published(Kor),Description,Link
HDMI 2.2 will support 16K video at 60Hz,2025-06-25 21:18:33 (KST),"After first announcing it at CES 2025, the HDMI Forum is finally releasing the new HDMI 2.2 specification to manufacturers today.
Although there is no definitive timeline for how long it will take hardware makers to adopt the new specification, the first Ultr…",https://www.theverge.com/news/692052/hdmi-2-2-specification-released-96gbps-audio-sync-16k
"I paid £15,000 for arranging IVF – then the service went bust",2025-06-25 13:33:25 (KST),"Companies that act as ""middlemen"" between patients and doctors are not regulated by the fertility watchdog.",https://www.bbc.com/news/articles/cm2eyzndlvvo
Solos unveils two smart glasses that might actually be worth wearing,2025-06-25 10:00:00 (KST),Solos finally makes smart eyewear feel like something you’d actually want to use daily.,https://www.androidcentral.com/gaming/virtual-reality/solos-unveils-two-smart-glasses-that-might-actually-be-worth-wearing
How to Watch ES Tunis vs. Chelsea From Anywhere for Free: Stream FIFA Club World Cup Soccer,2025-06-25 09:30:04 (KST),Enzo Maresca's Blues need a draw to progress to the next round.,https://www.cnet.com/tech/services-and-software/how-to-watch-es-tunis-vs-chelsea-from-anywhere-for-free-stream-fifa-club-world-cup-soccer/
Khan Academy CEO predicts AI in the classroom will be like 5 'amazing graduate students' assisting teachers,2025-06-25 18:55:01 (KST),"Founder and CEO Sal Khan believes AI agents will act like a team of grad students, helping teachers adjust lesson plans to improve student engagement.",https://www.businessinsider.com/khan-academy-ceo-ai-classroom-teacher-aid-not-replacement-2025-6
"Iran's nuclear program set back 'a few months.' And, Trump to meet with NATO allies",2025-06-25 20:13:28 (KST),"An early assessment by the Defense Intelligence Agency believes the damage to Iran's most important nuclear site was limited.
And, Trump will meet with NATO allies today to discuss a spending increase.",https://www.npr.org/2025/06/25/g-s1-74499/up-first-newsletter-iran-nuclear-program-nato-summit-emil-bove
Why a war in the Middle East hasn't sparked an oil crisis,2025-06-25 18:00:00 (KST),"Global crude oil prices are now lower than they were before Israel attacked Iran earlier this month.
A price spike did occur, but it was short-lived — unlike oil crises of the past.",https://www.npr.org/2025/06/25/nx-s1-5444030/oil-prices-iran-israel
Brother to Bruh: How Gen Alpha slang has its origins in the 16th century,2025-06-25 18:00:00 (KST),"What was once another shortened way to call a friend ""brother,"" the word ""bruh"" is now being used widely, especially by Gen Alpha kids, to address parents, express sadness, frustration, happiness and seemingly everything else under the sun.",https://www.npr.org/2025/06/25/nx-s1-5443929/bruh-meaning-explained-word
RFK Jr.'s picks for CDC vaccine advisers meet this week amid controversy,2025-06-25 18:00:53 (KST),"For the first time since Health Secretary Robert F.
Kennedy Jr.
replaced all the members of the vaccine committee, it is meeting in Atlanta.",https://www.npr.org/sections/shots-health-news/2025/06/25/nx-s1-5438482/cdc-vaccine-committee-acip-meeting-rfk
Tesla's long-awaited robotaxi rollout faced bumps in the road,2025-06-25 20:33:01 (KST),"The first Tesla robotaxi rides were available on Sunday.
It came at a turbulent time for Elon Musk.",https://www.businessinsider.com/tesla-robotaxi-austin-waymo-google-video-elon-musk-uber-stock-2025-6
