Title,Published,Description,Link
"정부 &quot;사고 여객기 조종사, '조류충돌' 언급하며 조난신호&quot;","Mon, 30 Dec 2024 18:13:00 +0900",주종완 국토부 항공정책실장은 <b>오늘</b>(30일) 오전 정부세종청사에서 가진 브리핑에서 &quot;사고기 조종사가 8시 59분에 조류 충돌에 따른 메이데이를 선언하고 복행을 했다&quot;며 &quot;당시 보낸 신호가 처음이자 유일한 조류 충돌... ,https://n.news.naver.com/mnews/article/422/0000701641?sid=101
'경기·환율·정치 삼중고'에 韓증시 시총 250조 증발,"Mon, 30 Dec 2024 18:13:00 +0900","이런 가운데 증시는 <b>오늘</b>(30일) 다사다난했던 2024년 증시를 마감했습니다. 코스피는 오후 하락 전환해 2399.49로, 2400선을 내준 채 장을 마쳤습니다. 1년을 돌아보면 코스피는 10% 하락했고 코스닥은 전 세계 증시 중 가장... ",https://n.news.naver.com/mnews/article/374/0000418150?sid=101
권영세 비대위 출범…지도부 무안행,"Mon, 30 Dec 2024 18:12:00 +0900","국민의힘 '권영세 비상대책위원회'가 <b>오늘</b> 공식 출범했습니다. 권 비대위원장은 비상계엄과 대통령 탄핵으로 국민에게 걱정 끼친 데 대해 사과하며, 야당을 향해 입법 폭거를 멈추라고 촉구했습니다. 권 비대위원장은 취임... ",https://www.natv.go.kr/natv/news/newsView.do?newsId=509670
"경남 고성군, 2025년 '군민이 체감할 수 있는 변화' 완성의 해","Mon, 30 Dec 2024 18:12:00 +0900","이상근 고성군수는“호국영웅의 희생이 없었다면 <b>오늘</b>날 대한민국도 없었을 것이며, 국가를 위해 희생하며 조국을 지켜내신 호국영웅들의 숭고한 정신을 기리고 예우에 소홀함이 없도록 노력하는 고성군이 되겠다”고... ",https://www.kukinews.com/article/view/kuk202412300225
넋 놓고 눈물만…무안 제주항공 참사 현장,"Mon, 30 Dec 2024 18:12:00 +0900",참사 유가족들은 <b>오늘</b> 제주항공 여객기 참사 유가족 협의회를 구성하고 대표단을 꾸렸습니다. [앵커] 이... 회수된 블랙박스는 <b>오늘</b>(30일) 오후 3시쯤은 분석을 할 수 있는 김포시험분석센터에 전해진 것으로... ,https://n.news.naver.com/mnews/article/422/0000701640?sid=102
"'오겜2' 강하늘 손 대역, '공기놀이 달인' 있었다…&quot;이래서 강하늘 하나...","Mon, 30 Dec 2024 18:10:00 +0900",그러면서 &quot;1년간 비밀로 하다가 <b>오늘</b> 오징어게임 공개! 아내랑 보는데 너무 재밌음. 이왕 나도 나왔으니 더더 잘 됐으면 좋겠다! 오징어게임 파이팅!&quot;이라고 '오징어 게임2'의 성공을 기원했다. '오징어 게임2'는 복수를... ,https://m.entertain.naver.com/article/477/0000528114
"[수익 내비게이터] K-뷰티 산업 확장 모멘텀 '브이티' VS 3분기 실적, 전...","Mon, 30 Dec 2024 18:10:00 +0900","<b>오늘</b>을 정리하고 내일을 준비할 때!어드바이저가 준비한 내일 장 수익 내비게이터는?▶ 진행 - 김솔지 앵커▶ 출연 - 최관국 MTNW 어드바이저, 이은지 MTNW 어드바이저* 12/5 매수일 엑스게이트 +90.8... ",https://news.mtn.co.kr/news-detail/2024123017003547807
<b>오늘</b> 낮 최고 11.4도.. 내일도 포근,"Mon, 30 Dec 2024 18:10:00 +0900","<b>오늘</b>(12/30) 울산지방은 낮 최고기온이 11.4도까지 올라 추위가 잠시 물러갔습니다. 내일도 2도에서 7도의 기온 분포로 포근한 날씨가 이어지겠으나, 새해 일출이 있을 모레는 아침 최저기온이 영하 2도까지 내려갈 것으로... ",https://www.usmbc.co.kr/article/Y-GUYbaBl-9
[<b>오늘</b>의 테마] '드론' VS '조선',"Mon, 30 Dec 2024 18:10:00 +0900","<b>오늘</b> 급등했던 종목은 왜?<b>오늘</b>의 HOT! 종목은?▶ 진행 - 김솔지 앵커▶ 출연 - 최관국 MTNW 어드바이저, 이은지 MTNW 어드바이저Q. 최관국’s <b>오늘</b>의 테마 &lt;드론&gt; - 머스크 &quot;美, 장거리 드론 필요&quot; 언급- 美, 유인... ",https://news.mtn.co.kr/news-detail/2024123017003336286
사고기 블랙박스 김포분석센터 도착...착지 지점 발표 엇갈려,"Mon, 30 Dec 2024 18:10:00 +0900","보잉사 관계자 2명과 미 사고조사위원회 요원 2명 등 4명이 <b>오늘</b> 저녁 입국하고요, 엔진제작사 CFMI에도 조사... 네, 전해드린 대로 <b>오늘</b> 아침에도 제주항공의 동일 기종 항공기가 랜딩기어 문제로 회항하는 사고가 났었죠.... ",https://n.news.naver.com/mnews/article/052/0002134292?sid=101
