Title,Published(Kor),Description,Link
"“한국교회, ‘중·고·대’ 사역 어떻게 할 것인가?”",2025-02-21 21:20:00 (KST),"우리가 오늘날 신앙을 이어가고 있듯, 이제 우리가 선배 되어 그 사랑을 작은 씨앗들에게 전달해야 할 때”...
비춰 오늘의 예배를 비평하면서, ①3세대 통합적 예배(3 Gen Integrated Worship) ②선교적 예배 공동체(Missional...",https://www.christiantoday.co.kr/news/366575
'소나무재선충병 확산 차단' …전남도 대책마련에 나서,2025-02-21 21:20:00 (KST),"［오늘경제=김상렬 기자］소나무재선충병 피해가 확산되고 있는 가운데 전남도가 대책마련에 나섰다.
21일 전남도에 따르면 산림청과 관계기관이 순천 호국기념관에서 소나무재선충병 방제 대책 회의를 열고 확산 방지에...",https://www.startuptoday.co.kr/news/articleView.html?idxno=410487
"이해영, '트리거' 이어 '보물섬' 열일 행보 ""또 다른 모습 기대""",2025-02-21 21:18:00 (KST),"박대용으로 살았던 시간들을 오래도록 잊지 못할 것 같다”면서, “오늘 첫 방송되는 ‘보물섬’을 통해 또 다른 모습으로 찾아뵙겠다.
기대해 달라”고 전했다.
한편, 이해영은 21일 오후 10시 첫 방송되는 SBS 새...",https://m.entertain.naver.com/article/117/0003915611
미국 래퍼 공연장에서 폭발물 신고 소동…수백 명 대피,2025-02-21 21:18:00 (KST),"오늘(21일) 경찰과 소방에 따르면 이날 오후 6시 24분께 서울 용산구 이태원동 7층짜리 빌딩의 2층 공연장에 폭발물이 설치됐다는 신고가 접수돼 공연 중이던 미국 래퍼 '투홀리스'와 관객 수백 명이 대피했다.
경찰...",https://n.news.naver.com/mnews/article/448/0000509754?sid=102
"이상우, ♥김소연 당황한 무뚝뚝 집안 “말없이 이사해” (편스토랑)",2025-02-21 21:17:00 (KST),"(도련님이) 워낙 말수가 없어서 ‘군대 다녀올게’ 했는데 오늘날 보니까 전역을 했다고”라고 말했다.
이에 이상우는 “(동생이) 군대 입대한 거를 2개월 뒤에 알았다.
(어느 날 동생이 없길래) ‘엄마 동생 군대 갔어?’...",https://m.entertain.naver.com/article/144/0001020599
양양군수 주민소환 사전 투표 시작…투표율 촉각,2025-02-21 21:16:00 (KST),"오늘(21일)부터 이틀간 사전 투표가 진행되고, 오는 26일엔 본투표가 예정돼 있는 데요, 가결 여부는 투표율에 달렸다는 분석입니다.
이상현 기자입니다.
[기자] 주민들이 하나둘 양양군실내체육관에 설치된 사전 투표소로...",https://n.news.naver.com/mnews/article/422/0000715549?sid=161
미국 래퍼 내한 공연장 폭발물 신고…수백 명 대피,2025-02-21 21:16:00 (KST),"오늘 오후 6시 반쯤 서울시 용산구 이태원동 7층짜리 빌딩의 2층 공연장에 폭발물이 설치됐다는 신고가 접수돼 공연 중이던 미국 래퍼 '투홀리스'와 관객 수백 명이 대피했습니다.
경찰 특공대와 소방이 출동해 1시간여...",https://www.obsnews.co.kr/news/articleView.html?idxno=1473701
한파에도 내란 책임 촉구⋯주말 탄핵 찬반 집회 '긴장'/데스크,2025-02-21 21:16:00 (KST),"◀ 앵 커 ▶ 한파가 몰아친 오늘도 대전 곳곳에서 12.3 내란을 두둔한 정치인들의 책임을 묻는 1인 시위가 이어졌습니다.
대통령 탄핵 심판 선고가 다음 달로 예상되는 가운데 주말인 내일은 탄핵 찬반 집회가 동시에...",https://tjmbc.co.kr/article/uYzRu908HHP2uNpsYa
김동연 경기지사 “대통령실·국회 '세종시' 이전해야”,2025-02-21 21:16:00 (KST),"김 지사는 오늘 한국지방자치학회 학술대회에 참석해 ""대통령실과 국회는 세종시로 이전이 이미 준비되어 있기 때문에 빠른 시간에 할 수 있을 것 같다""며 ""대법원과 대검찰청의 충청권 이전 추진도 강력하게 해야 한다""고...",https://tjmbc.co.kr/article/dwHDH7poncRrbURaciuxI
"'생방송투데이' 인천 논현동 돼지고기덮밥 맛집 위치는? ""초저가 도전""",2025-02-21 21:16:00 (KST),"(생방송투데이 오늘방송맛집) SBS '생방송투데이' 3712회에서 '투데이ISSUE' 진로 탐색의 새로운 길 편...
농장, '오늘은, 자연인' 촌집 담장 넘어 봄바람이 분다 편 - 권상근·김은미 자연인 등 다양한 정보 또는 맛집과...",https://www.topstarnews.net/news/articleView.html?idxno=15606124
